design,rank,dedup_module,benchmark,parallel_cpus,instance_count,module_ir_size,boundary_signal_count,boundary_to_interior_ratio,edge_count_within,fraction_design_covered,original_ir_size,median_throughput_hz,baseline_throughput_hz,relative_speedup
rocket21-4c,ml,TLXbar_7,qsort,32,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,27568.2974,27856.6826,0.989648
rocket21-4c,ml,TLXbar_7,qsort,48,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,20973.5779,20948.5773,1.001193
rocket21-4c,ml,TLXbar_7,qsort,64,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,15553.5186,15672.6268,0.9924
rocket21-4c,ml,TLXbar_7,vvadd,32,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,36343.5022,36647.2644,0.991711
rocket21-4c,ml,TLXbar_7,vvadd,48,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,26886.875,26602.9242,1.010674
rocket21-4c,ml,TLXbar_7,vvadd,64,4,1741,99,6.487039027075198E-4,138,0.045632060388436035,152612,18678.4663,19291.9102,0.968202
rocket21-6c,1,TilePRCIDomain,memcpy,32,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,28703.4545,25061.0548,1.145341
rocket21-6c,1,TilePRCIDomain,memcpy,48,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,20552.4656,19573.4949,1.050015
rocket21-6c,1,TilePRCIDomain,memcpy,64,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,15740.41,14552.8665,1.081602
rocket21-6c,1,TilePRCIDomain,multiply,32,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,24066.5675,19109.2509,1.25942
rocket21-6c,1,TilePRCIDomain,multiply,48,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,18754.6221,15402.628,1.217625
rocket21-6c,1,TilePRCIDomain,multiply,64,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,13676.2107,11286.0644,1.211779
rocket21-6c,1,TilePRCIDomain,qsort,32,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,22152.3427,17115.4784,1.294287
rocket21-6c,1,TilePRCIDomain,qsort,48,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,17249.0314,13376.6775,1.289485
rocket21-6c,1,TilePRCIDomain,qsort,64,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,12551.8451,10622.6555,1.181611
rocket21-6c,1,TilePRCIDomain,vvadd,32,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,27101.2017,24213.2127,1.119273
rocket21-6c,1,TilePRCIDomain,vvadd,48,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,19949.4843,19541.0394,1.020902
rocket21-6c,1,TilePRCIDomain,vvadd,64,6,27404,2813,0.013083660075999646,6129,0.7647592336779829,215001,15838.4773,13809.4823,1.146928
rocket21-6c,ml,TLXbar_7,memcpy,32,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,25954.8912,25061.0548,1.035666
rocket21-6c,ml,TLXbar_7,memcpy,48,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,19469.5465,19573.4949,0.994689
rocket21-6c,ml,TLXbar_7,memcpy,64,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,13880.4706,14552.8665,0.953796
rocket21-6c,ml,TLXbar_7,multiply,32,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,19391.779,19109.2509,1.014785
rocket21-6c,ml,TLXbar_7,multiply,48,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,14492.3223,15402.628,0.940899
rocket21-6c,ml,TLXbar_7,multiply,64,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,10864.0118,11286.0644,0.962604
rocket21-6c,ml,TLXbar_7,qsort,32,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,17064.4035,17115.4784,0.997016
rocket21-6c,ml,TLXbar_7,qsort,48,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,13158.2567,13376.6775,0.983672
rocket21-6c,ml,TLXbar_7,qsort,64,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,10032.5942,10622.6555,0.944453
rocket21-6c,ml,TLXbar_7,vvadd,32,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,24420.9129,24213.2127,1.008578
rocket21-6c,ml,TLXbar_7,vvadd,48,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,19177.2164,19541.0394,0.981382
rocket21-6c,ml,TLXbar_7,vvadd,64,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296,215001,13142.1753,13809.4823,0.951678
rocket21-8c,1,TilePRCIDomain,memcpy,32,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,24125.1766,20414.7468,1.181752
rocket21-8c,1,TilePRCIDomain,memcpy,48,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,18973.2692,15461.9874,1.227091
rocket21-8c,1,TilePRCIDomain,memcpy,64,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,13090.1666,11103.861,1.178884
rocket21-8c,1,TilePRCIDomain,multiply,32,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,19742.9785,14516.9208,1.359998
rocket21-8c,1,TilePRCIDomain,multiply,48,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,15973.784,11262.038,1.418374
rocket21-8c,1,TilePRCIDomain,multiply,64,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,10844.3001,8681.0232,1.249196
rocket21-8c,1,TilePRCIDomain,qsort,32,8,27404,2811,0.01027678966398444,6043,0.8014945398842536,273529,18131.7719,13080.4514,1.386173
