rank_chosen,cpu,benchmark,parallel_cpus,cycle_count,wall_time_s
2,rocket21-2c,vvadd,16,238411,5.32
2,rocket21-2c,vvadd,16,238411,5.5
2,rocket21-2c,vvadd,16,238411,5.47
2,rocket21-2c,vvadd,16,238411,5.57
2,rocket21-2c,vvadd,16,238411,5.57
2,rocket21-2c,vvadd,16,238411,5.27
2,rocket21-2c,vvadd,16,238411,6.53
2,rocket21-2c,vvadd,16,238411,5.57
2,rocket21-2c,vvadd,16,238411,5.31
2,rocket21-2c,vvadd,16,238411,5.29
2,rocket21-2c,vvadd,16,238411,5.29
2,rocket21-2c,vvadd,16,238411,5.32
2,rocket21-2c,vvadd,1,238411,4.76
3,boom21-2large,qsort,16,1040703,454.03
3,boom21-2large,qsort,16,1040703,494.03
3,boom21-2large,qsort,16,1040703,451.35
3,boom21-2large,qsort,16,1040703,456.65
3,boom21-2large,qsort,16,1040703,448.36
3,boom21-2large,qsort,16,1040703,456.09
3,boom21-2large,qsort,16,1040703,448.88
3,boom21-2large,qsort,16,1040703,460.32
3,boom21-2large,qsort,16,1040703,441.56
3,boom21-2large,qsort,16,1040703,452.12
3,boom21-2large,qsort,16,1040703,435.25
3,boom21-2large,qsort,16,1040703,448.1
3,boom21-2large,qsort,16,1040703,449.8
3,boom21-2large,qsort,16,1040703,446.39
3,boom21-2large,qsort,16,1040703,449.69
3,boom21-2large,qsort,16,1040703,570.83
3,boom21-2large,qsort,1,1040703,230.02
3,boom21-2large,vvadd,16,380383,104.73
3,boom21-2large,vvadd,16,380383,103.83
3,boom21-2large,vvadd,16,380383,140.38
3,boom21-2large,vvadd,16,380383,100.62
3,boom21-2large,vvadd,16,380383,105.05
3,boom21-2large,vvadd,16,380383,101.42
3,boom21-2large,vvadd,16,380383,105.24
3,boom21-2large,vvadd,16,380383,100.12
3,boom21-2large,vvadd,16,380383,101.87
3,boom21-2large,vvadd,16,380383,106.05
3,boom21-2large,vvadd,16,380383,106.96
3,boom21-2large,vvadd,16,380383,107.49
3,boom21-2large,vvadd,16,380383,105.28
3,boom21-2large,vvadd,16,380383,100.69
3,boom21-2large,vvadd,16,380383,101.83
3,boom21-2large,vvadd,16,380383,101.61
3,boom21-2large,vvadd,1,380383,64.61
3,boom21-2small,qsort,16,1292091,127.91
3,boom21-2small,qsort,16,1292091,128.24
3,boom21-2small,qsort,16,1292091,127.6
3,boom21-2small,qsort,16,1292091,130.5
3,boom21-2small,qsort,16,1292091,129.99
3,boom21-2small,qsort,16,1292091,130.48
3,boom21-2small,qsort,16,1292091,129.34
3,boom21-2small,qsort,16,1292091,128.13
3,boom21-2small,qsort,16,1292091,129.29
3,boom21-2small,qsort,16,1292091,128.43
3,boom21-2small,qsort,16,1292091,130.27
3,boom21-2small,qsort,16,1292091,129.22
3,boom21-2small,qsort,16,1292091,130.39
3,boom21-2small,qsort,16,1292091,128.42
3,boom21-2small,qsort,16,1292091,136.25
3,boom21-2small,qsort,16,1292091,127.42
3,boom21-2small,qsort,1,1292091,113.57
3,boom21-2small,vvadd,16,435571,33.02
3,boom21-2small,vvadd,16,435571,33.03
3,boom21-2small,vvadd,16,435571,31.47
3,boom21-2small,vvadd,16,435571,32.06
3,boom21-2small,vvadd,16,435571,32.18
3,boom21-2small,vvadd,16,435571,31.92
3,boom21-2small,vvadd,16,435571,31.82
3,boom21-2small,vvadd,16,435571,31.77
3,boom21-2small,vvadd,16,435571,32.08
3,boom21-2small,vvadd,16,435571,32.36
3,boom21-2small,vvadd,16,435571,32.23
3,boom21-2small,vvadd,16,435571,31.98
3,boom21-2small,vvadd,16,435571,32.56
3,boom21-2small,vvadd,16,435571,31.54
3,boom21-2small,vvadd,16,435571,31.97
3,boom21-2small,vvadd,16,435571,31.69
3,boom21-2small,vvadd,1,435571,26.5
