timestamp,design,rank,dedup_module,original_ir_size,instance_count,module_ir_size,boundary_signal_count,boundary_to_interior_ratio,edge_count_within,fraction_design_covered
2026-04-06 09:15:55,boom21-large,10,AsyncResetSynchronizerShiftReg_w1_d3_i0,214308,10,9,0,0.0,0,4.199563245422476E-4
2026-04-04 19:30:33,boom21-large,1,ComposedBranchPredictorBank,214308,2,13789,2055,0.009589002743714653,3651,0.12868395020251228
2026-04-04 20:57:14,boom21-large,2,LoopBranchPredictorBank,214308,2,4488,1067,0.004978815536517535,1586,0.041883644101013494
2026-04-05 00:30:24,boom21-large,3,BoomMSHR,214308,4,1064,268,0.0012505366108591374,387,0.01985926796946451
2026-04-05 04:19:04,boom21-large,4,TageBranchPredictorBank,214308,2,2678,147,6.859286634190044E-4,619,0.024992067491647535
2026-04-05 07:53:21,boom21-large,5,AsyncValidSync,214308,24,9,0,0.0,3,0.0010078951789013943
2026-04-05 11:35:01,boom21-large,6,AsyncResetSynchronizerShiftReg_w1_d3_i0_1,214308,24,9,0,0.0,3,0.0010078951789013943
2026-04-05 15:13:55,boom21-large,7,RecFNToRecFN,214308,2,206,0,0.0,1,0.0019224667301267334
2026-04-05 19:02:59,boom21-large,8,QueueCompatibility_22,214308,32,6,0,0.0,0,8.959068256901283E-4
2026-04-05 22:46:34,boom21-large,9,Queue_5,214308,9,12,0,0.0,0,5.039475894506972E-4
2026-04-04 18:00:51,boom21-small,0,,107392,0,0,0,0.0,0,0.0
2026-04-06 08:58:21,boom21-small,10,Queue_14,107392,2,16,0,0.0,0,2.979737783075089E-4
2026-04-04 19:24:48,boom21-small,1,BoomMSHR,107392,2,1064,294,0.0027376340882002384,403,0.019815256257449343
2026-04-04 20:34:01,boom21-small,2,AsyncValidSync,107392,24,9,0,0.0,3,0.0020113230035756855
2026-04-05 00:11:48,boom21-small,3,AsyncResetSynchronizerShiftReg_w1_d3_i0_1,107392,24,9,0,0.0,3,0.0020113230035756855
2026-04-05 03:57:52,boom21-small,4,RecFNToRecFN,107392,2,206,0,0.0,1,0.0038364123957091776
2026-04-05 07:34:40,boom21-small,5,QueueCompatibility_18,107392,32,6,0,0.0,0,0.0017878426698450535
2026-04-05 11:16:34,boom21-small,6,AsyncResetSynchronizerShiftReg_w1_d3_i0,107392,10,9,0,0.0,0,8.380512514898689E-4
2026-04-05 14:54:16,boom21-small,7,Queue_5,107392,7,12,0,0.0,0,7.82181168057211E-4
2026-04-05 18:42:45,boom21-small,8,RecFNToRecFN_1,107392,2,33,0,0.0,0,6.145709177592371E-4
2026-04-05 22:26:34,boom21-small,9,IntSyncCrossingSource_1,107392,5,4,0,0.0,0,1.8623361144219308E-4
2026-04-04 19:03:49,rocket21-1c,0,,63611,0,0,0,0.0,0,0.0
2026-04-06 08:53:25,rocket21-1c,10,Queue_13,63611,2,14,0,0.0,0,4.401754413544827E-4
2026-04-04 19:22:54,rocket21-1c,1,TLB,63611,2,646,0,0.0,5,0.02031095250821399
2026-04-04 20:28:10,rocket21-1c,2,AsyncValidSync,63611,24,9,0,0.0,3,0.003395639119020295
2026-04-05 00:06:52,rocket21-1c,3,AsyncResetSynchronizerShiftReg_w1_d3_i0_1,63611,24,9,0,0.0,3,0.003395639119020295
2026-04-05 03:53:06,rocket21-1c,4,QueueCompatibility_14,63611,32,6,0,0.0,0,0.0030183458835735958
2026-04-05 07:29:32,rocket21-1c,5,AsyncResetSynchronizerShiftReg_w1_d3_i0,63611,10,9,0,0.0,0,0.001414849632925123
2026-04-05 11:11:41,rocket21-1c,6,Queue_5,63611,5,12,0,0.0,0,9.432330886167486E-4
2026-04-05 14:49:16,rocket21-1c,7,IntSyncCrossingSource_1,63611,5,4,0,0.0,0,3.1441102953891624E-4
2026-04-05 18:37:49,rocket21-1c,8,Queue_22,63611,2,16,0,0.0,0,5.030576472622659E-4
2026-04-05 22:21:45,rocket21-1c,9,Queue_12,63611,2,16,0,0.0,0,5.030576472622659E-4
2026-04-04 17:59:37,rocket21-2c,0,,92966,0,0,0,0.0,0,0.0
2026-04-06 08:54:01,rocket21-2c,10,TLBuffer_9,92966,2,1614,79,8.497730353032292E-4,126,0.03472237161973195
2026-04-04 19:24:33,rocket21-2c,1,TilePRCIDomain,92966,2,27407,2806,0.030183077684314694,5849,0.5896134070520406
2026-04-04 20:31:48,rocket21-2c,2,TileResetDomain,92966,2,25769,2554,0.027472409267904396,5545,0.5543747176387066
2026-04-05 00:09:14,rocket21-2c,3,RocketTile,92966,2,25766,2452,0.026375233956500224,5628,0.5543101779145064
2026-04-05 03:54:01,rocket21-2c,4,DCache,92966,2,6031,623,0.006701374696125465,1273,0.12974635888389305
2026-04-05 07:30:17,rocket21-2c,5,Frontend,92966,2,4606,951,0.010229546285738873,1197,0.09908998988877654
2026-04-05 11:12:31,rocket21-2c,6,FPU,92966,2,4546,388,0.004173568831615859,374,0.09779919540477164
2026-04-05 14:50:03,rocket21-2c,7,Rocket,92966,2,3294,182,0.001957704967407439,299,0.07086461717186929
2026-04-05 18:38:26,rocket21-2c,8,TLB,92966,4,646,0,0.0,7,0.027795107888905622
2026-04-05 22:22:28,rocket21-2c,9,TLXbar_7,92966,2,1741,107,0.0011509584149043735,134,0.037454553277542324
