rank_chosen,cpu,benchmark,cycle_count,wall_time_s
0,boom21-small,qsort,1287415,65.48
0,boom21-small,qsort,1287415,65.27
0,boom21-small,qsort,1287415,66.46
0,boom21-small,qsort,1287415,66.53
0,boom21-small,qsort,1287415,59.57
0,boom21-small,qsort,1287415,59.94
0,boom21-small,qsort,1287415,61.52
0,boom21-small,qsort,1287415,61.44
0,boom21-small,qsort,1287415,61.96
0,boom21-small,qsort,1287415,61.67
0,boom21-small,qsort,1287415,63.19
0,boom21-small,qsort,1287415,62.76
0,boom21-small,qsort,1287415,62.39
0,boom21-small,qsort,1287415,63.78
0,boom21-small,qsort,1287415,66.68
0,boom21-small,qsort,1287415,62.02
0,boom21-small,qsort,1287415,61.86
0,boom21-small,qsort,1287415,62.42
0,rocket21-1c,memcpy,6554527,88.97
0,rocket21-1c,memcpy,6554527,88.38
0,rocket21-1c,memcpy,6554527,87.89
0,rocket21-1c,memcpy,6554527,88.1
0,rocket21-1c,memcpy,6554527,89.34
0,rocket21-1c,memcpy,6554527,87.59
0,rocket21-1c,memcpy,6554527,88.16
0,rocket21-1c,memcpy,6554527,86.97
0,rocket21-1c,memcpy,6554527,89.01
0,rocket21-1c,memcpy,6554527,87.61
0,rocket21-1c,memcpy,6554527,87.72
0,rocket21-1c,memcpy,6554527,88.73
0,rocket21-1c,memcpy,6554527,88.57
0,rocket21-1c,memcpy,6554527,89.68
0,rocket21-1c,memcpy,6554527,88.87
0,rocket21-1c,memcpy,6554527,106.37
0,rocket21-1c,memcpy,6554527,89.58
0,rocket21-1c,memcpy,6554527,89.34
0,rocket21-1c,memcpy,6554527,87.78
0,rocket21-1c,memcpy,6554527,88.38
0,rocket21-1c,memcpy,6554527,88.41
0,rocket21-1c,memcpy,6554527,88.19
0,rocket21-1c,memcpy,6554527,88.78
0,rocket21-1c,memcpy,6554527,88.26
0,rocket21-1c,memcpy,6554527,88.37
0,rocket21-1c,memcpy,6554527,89.54
0,rocket21-1c,memcpy,6554527,89.77
0,rocket21-1c,memcpy,6554527,88.42
0,rocket21-1c,memcpy,6554527,80.97
0,rocket21-1c,memcpy,6554527,80.81
0,rocket21-1c,memcpy,6554527,84.96
0,rocket21-1c,memcpy,6554527,85.17
0,rocket21-1c,memcpy,6554527,84.95
0,rocket21-1c,memcpy,6554527,84.46
0,rocket21-1c,memcpy,6554527,83.96
0,rocket21-1c,memcpy,6554527,88.61
0,rocket21-1c,memcpy,6554527,88.04
0,rocket21-1c,memcpy,6554527,87.09
0,rocket21-1c,memcpy,6554527,86.56
0,rocket21-1c,memcpy,6554527,87.98
0,rocket21-1c,memcpy,6554527,87.67
0,rocket21-1c,memcpy,6554527,87.35
0,rocket21-1c,memcpy,6554527,87.74
0,rocket21-1c,qsort,793459,10.91
0,rocket21-1c,qsort,793459,10.91
0,rocket21-1c,qsort,793459,10.89
0,rocket21-1c,qsort,793459,11.45
0,rocket21-1c,qsort,793459,10.98
0,rocket21-1c,qsort,793459,10.97
0,rocket21-1c,qsort,793459,10.97
0,rocket21-1c,qsort,793459,10.89
0,rocket21-1c,qsort,793459,10.85
0,rocket21-1c,qsort,793459,10.94
0,rocket21-1c,qsort,793459,10.9
0,rocket21-1c,qsort,793459,10.93
0,rocket21-1c,qsort,793459,11.07
0,rocket21-1c,qsort,793459,11.11
0,rocket21-1c,qsort,793459,11.15
0,rocket21-1c,qsort,793459,10.94
0,rocket21-1c,qsort,793459,11.08
0,rocket21-1c,qsort,793459,10.98
0,rocket21-1c,qsort,793459,13.31
0,rocket21-1c,qsort,793459,10.95
0,rocket21-1c,qsort,793459,11.0
0,rocket21-1c,qsort,793459,10.89
0,rocket21-1c,qsort,793459,10.95
0,rocket21-1c,qsort,793459,10.95
0,rocket21-1c,qsort,793459,11.26
0,rocket21-1c,qsort,793459,11.04
0,rocket21-1c,qsort,793459,11.22
0,rocket21-1c,qsort,793459,10.94
0,rocket21-1c,qsort,793459,10.6
0,rocket21-1c,qsort,793459,10.01
0,rocket21-1c,qsort,793459,10.85
0,rocket21-1c,qsort,793459,10.73
0,rocket21-1c,qsort,793459,10.42
0,rocket21-1c,qsort,793459,10.89
0,rocket21-1c,qsort,793459,12.25
0,rocket21-1c,qsort,793459,10.81
0,rocket21-1c,qsort,793459,10.84
0,rocket21-1c,qsort,793459,10.77
0,rocket21-1c,qsort,793459,10.86
0,rocket21-1c,qsort,793459,11.0
0,rocket21-1c,qsort,793459,10.89
0,rocket21-1c,qsort,793459,13.09
0,rocket21-1c,qsort,793459,10.92
0,rocket21-2c,memcpy,4660831,102.21
0,rocket21-2c,memcpy,4660831,101.72
0,rocket21-2c,memcpy,4660831,100.2
0,rocket21-2c,memcpy,4660831,100.21
0,rocket21-2c,memcpy,4660831,121.67
0,rocket21-2c,memcpy,4660831,101.72
0,rocket21-2c,memcpy,4660831,103.7
0,rocket21-2c,memcpy,4660831,100.64
0,rocket21-2c,memcpy,4660831,99.85
0,rocket21-2c,memcpy,4660831,101.64
0,rocket21-2c,memcpy,4660831,100.03
0,rocket21-2c,memcpy,4660831,106.5
0,rocket21-2c,memcpy,4660831,101.44
0,rocket21-2c,memcpy,4660831,101.03
0,rocket21-2c,memcpy,4660831,102.62
0,rocket21-2c,memcpy,4660831,100.8
0,rocket21-2c,memcpy,4660831,102.15
0,rocket21-2c,memcpy,4660831,102.84
0,rocket21-2c,memcpy,4660831,120.94
0,rocket21-2c,memcpy,4660831,103.34
0,rocket21-2c,memcpy,4660831,103.09
0,rocket21-2c,memcpy,4660831,102.11
0,rocket21-2c,memcpy,4660831,105.02
0,rocket21-2c,memcpy,4660831,104.08
0,rocket21-2c,memcpy,4660831,102.31
0,rocket21-2c,memcpy,4660831,102.61
0,rocket21-2c,memcpy,4660831,105.92
0,rocket21-2c,memcpy,4660831,103.7
0,rocket21-2c,memcpy,4660831,93.45
0,rocket21-2c,memcpy,4660831,92.16
0,rocket21-2c,memcpy,4660831,97.51
0,rocket21-2c,memcpy,4660831,95.68
0,rocket21-2c,memcpy,4660831,98.41
0,rocket21-2c,memcpy,4660831,98.87
0,rocket21-2c,memcpy,4660831,96.16
0,rocket21-2c,memcpy,4660831,100.85
0,rocket21-2c,memcpy,4660831,99.93
0,rocket21-2c,memcpy,4660831,100.58
0,rocket21-2c,memcpy,4660831,119.28
0,rocket21-2c,memcpy,4660831,99.4
0,rocket21-2c,memcpy,4660831,102.75
0,rocket21-2c,memcpy,4660831,101.1
0,rocket21-2c,memcpy,4660831,100.32
0,rocket21-2c,qsort,794619,16.13
